章	章题	段	本站上下文(〔〕内为本站读法)	本站读法	劝学网本	古诗文本	差异类型	同书内证(全书只留汉字计次;讹写含本处)	标出来源	判定	依据	建议 typoFix
2	二、地道	2	之命有吉凶。〔〕	∅	注原网文为天道此明显错误也应为坤道改之一二三章为天地人三才也	同本站	见证本衍(编者按)			-	劝学网本编者按「原网文为天道…改之」,非原书	
4	四、知命	2	，专论女命邪〔淫〕，受责鬼神；	淫	同本站	婬	异体			-		
4	四、知命	4	〔〕天干庚辛丙丁	∅	高宗纯皇帝御造八字辛卯丁酉庚午丙子大运丙申乙未癸巳壬辰庚寅己丑戊子丁亥	高宗纯皇帝御造八字辛卯丁酉庚午丙子大运丙申乙未癸巳壬辰庚寅己丑戊子丁亥	本站缺(命主题名)	正写 「高宗纯皇帝御造八字辛卯丁酉庚午丙子大运丙申乙未癸巳壬辰庚寅己丑戊子丁亥天」0 「高宗纯皇帝御造八字辛卯丁酉庚午丙子大运丙申乙未癸巳壬辰庚寅己丑戊子丁亥」0 「高宗纯皇帝御造八字辛卯丁酉庚午丙子大运丙申乙未癸巳壬辰庚寅己丑戊子丁亥天」0;讹写「天」397		C	两见证本此命例前有「高宗纯皇帝御造」,本站无;命例段不走 typoFixes,须另定	
5	五、理气	4	甲木休〔困〕已极，庚金禄	困	同本站	囚	形近讹	正写 「休囚已」2 「休囚」43 「囚已」2;讹写「休困已」1		A	古诗文本作「休囚」;「休囚」同书常语	休困已 → 休囚已
6	六、配合	4	三奇透戊，枭〔深〕夺食，亦难作	深	神	神	形近讹	正写 「枭神夺」3 「枭神」5 「神夺」3;讹写「枭深夺」1		A	两见证本作「枭神夺食」,格语	枭深夺 → 枭神夺
7	七、天干	5	任氏曰：〔五阳气避〕，光亨之象易	五阳气避	同本站	同本站	见证本亦同	正写 「气辟光」0 「气辟」4 「辟光」1;讹写「气避光」1	白话	B	与下「五阴气翕」对举,语本《系辞》「其动也辟」	五阳气避 → 五阳气辟
7	七、天干	5	畏财煞，而有〔测〕隐之心，其处	测	同本站	恻	形近讹	正写 「有恻隐」1 「有恻」1 「恻隐」4;讹写「有测隐」1	注疏	A	古诗文本作「恻」;「恻隐之心」语本《孟子》	有测隐 → 有恻隐
7	七、天干	10	生申酉之月，〔亦不胃之〕；生于子月，	亦不胃之	同本站	同本站	见证本亦同	正写 「不畏之」0 「不畏」13 「畏之」1;讹写「不胃之」1	注疏	B	胃/畏形近,「不畏申酉之金」文义唯一	亦不胃之 → 亦不畏之
7	七、天干	10	则虽坐午，亦〔〕能发生。故益	∅	同本站	不	脱文	正写 「亦不能」11 「亦不」41 「不能」225;讹写「亦能」19		A	古诗文本有「不」;上承「虽坐午」让步,辑要作「亦难发生」	午，亦能发 → 午，亦不能发
7	七、天干	11	克则凋；夏如〔禾家〕，水滋得生；	禾家	同本站	同本站	见证本亦同	正写 「禾稼水」0 「禾稼」1 「稼水」0;讹写「禾家水」1	注疏	B	家/稼;「禾稼」成词	如禾家 → 如禾稼
7	七、天干	11	支寅藏，此谓〔鸢萝〕系松柏，春固	鸢萝	同本站	同本站	见证本亦同	正写 「谓茑萝」0 「谓茑」0 「茑萝」0;讹写「谓鸢萝」1	白话	B	鸢/茑形近;「茑萝系松柏」典出《诗·頍弁》「茑与女萝，施于松柏」	谓鸢萝 → 谓茑萝
7	七、天干	16	也，乙畏辛而〔辛抱之〕，不若丙抱甲	辛抱之	同本站	同本站	见证本亦同	正写 「而丁抱」0 「而丁」2 「丁抱」2;讹写「而辛抱」1	注疏	A	辑要(独立本)作「畏辛而丁抱之」;乙为丁母,丁抱乙	乙畏辛而辛抱之 → 乙畏辛而丁抱之
7	七、天干	20	中得正。春夏〔气动而避〕，则发生，秋	气动而避	同本站	同本站	见证本亦同	正写 「而辟则」0 「而辟」1 「辟则」1;讹写「而避则」1	注疏	B	与下「秋冬气静而翕」对举	气动而避 → 气动而辟
7	七、天干	23	，水不冲也。〔水〕少火晦者，丁	水	同本站	火	形近讹	正写 「也火少」0 「也火」6 「火少」3;讹写「也水少」1	白话	A	古诗文本作「火」;纲领「火少火晦」,辑要同	也。水少 → 也。火少
7	七、天干	26	，洪炉煅炼，〔时露锋砧〕。生于春夏，	时露锋砧	同本站	同本站	见证本亦同		注疏	C		
7	七、天干	34	庚金，则不赖〔蜞〕生，亦不忌其	蜞	其	其	形近讹	正写 「赖其生」0 「赖其」0 「其生」7;讹写「赖蜞生」1	注疏	B	两见证本作「其」	赖蜞生 → 赖其生
9	九、干支总论	2	死论。即己遇〔寅岁〕之丙火，辛遇	寅岁	同本站	同本站	见证本亦同		注疏	C		
9	九、干支总论	24	谓天干不覆。〔初交已未〕，孤苦万状；	初交已未	同本站	同本站	见证本亦同	正写 「交己未」6 「交己」8 「己未」20;讹写「交已未」2	扫描	B	「已」非天干(大运己未)	初交已未 → 初交己未
9	九、干支总论	28	岂无成立乎？〔彼此母腹〕，数年间父母	彼此母腹	同本站	同本站	见证本亦同		注疏	C		
9	九、干支总论	43	〔阳乘阴位〕气盛，还须道	阳乘阴位	同本站	同本站	见证本亦同	正写 「阴乘阴位阴气」1 「阴乘阴位阴」1 「阴乘阴位阴气」1;讹写「阳乘阴位气」1	注疏	A	任氏本章后文自引作「阴乘阴位阴气盛」,辑要(独立本)同;本站七言脱一字	阳乘阴位气盛 → 阴乘阴位阴气盛
9	九、干支总论	49	火在月，壬水〔相近，已土〕不能为力，子	相近，已土	同本站	同本站	见证本亦同	正写 「近己土」0 「近己」0 「己土」61;讹写「近已土」1	扫描	B	「已」非天干	相近，已土 → 相近，己土
9	九、干支总论	49	生？十干体象〔云〕：“虚湿之地	云	去	去	本站已改			-		
9	九、干支总论	66	穷乏。书云“〔格格推祥〕，以杀为重”	格格推祥	同本站	同本站	见证本亦同	正写 「推详以」1 「推详」6 「详以」1;讹写「推祥以」1	注疏	B	祥/详;「推详」成词	格格推祥 → 格格推详
9	九、干支总论	94	伤官虽当令，〔印缓〕制之有情，年	印缓	同本站	同本站	见证本亦同	正写 「印绶制」2 「印绶」148 「绶制」2;讹写「印缓制」1	注疏	B	缓/绶形近;「印绶」全书数百见	，印缓制 → ，印绶制
10	十、形象	2	金水破局水火〔得〕济者，尤忌土	得	既	既	形近讹	正写 「火既济」1 「火既」1 「既济」7;讹写「火得济」1		A	两见证本作「水火既济」	火得济 → 火既济
10	十、形象	12	其通根燥土，〔财命有一〕。然气势稍寒	财命有一	同本站	同本站	见证本亦同	正写 「有气然」0 「有气」17 「气然」0;讹写「有一然」1	注疏	C		
10	十、形象	19	以培之，以作〔砥柆〕之功，不致浮	砥柆	同本站	同本站	见证本亦同	正写 「砥柱之」0 「砥柱」0 「柱之」9;讹写「砥柆之」1	注疏	B	柆/柱形近;「砥柱」成词	作砥柆 → 作砥柱
10	十、形象	23	戌土自坐，谓〔财来就〕 ，未尝不美	财来就	同本站	同本站	见证本亦同		注疏	C	空格处当脱一字(注疏补「我」),无证	
10	十、形象	28	光；行财地，〔得过且过〕有食伤化劫之	得过且过	同本站	同本站	见证本亦同		注疏	C		
10	十、形象	30	费中堂造，〔天干戊已逢〕丁，地支重午	天干戊已逢	同本站	同本站	见证本亦同	正写 「戊己逢」0 「戊己」15 「己逢」0;讹写「戊已逢」1	扫描	B	「已」非天干	天干戊已逢 → 天干戊己逢
10	十、形象	30	干戊已逢丁，〔地支重午丑未〕。子丑化土，	地支重午丑未	同本站	同本站	见证本亦同		注疏	C		
10	十、形象	36	行运不背，书〔得〕早遂；甲寅运	得	香	香	形近讹	正写 「书香早」1 「书香」30 「香早」3;讹写「书得早」1		A	两见证本作「书香早遂」;「书香」同书习见	书得早 → 书香早
10	十、形象	39	与财也。伤官〔司〕生堸。固为全	司			衍文	正写 「官生财生」0 「官生财」0 「生财生」0;讹写「官司生堸生」0	注疏	A	两见证本作「伤官生财」;「司」衍、「堸」为「财」之讹;「伤官生财」同书习见	伤官司生堸 → 伤官生财
10	十、形象	39	日主旺，伤官〔司〕轻，有印绶，	司			衍文	正写 「官轻」10 「官」995 「轻」105;讹写「官司轻」1		A	两见证本无「司」;同段「伤官司生」亦衍	官司轻 → 官轻
10	十、形象	39	局之意向，日〔景〕喜忌为的。	景	主之	主之	形近讹	正写 「日主之喜」5 「日主之」52 「主之喜」5;讹写「日景喜」2	注疏	A	两见证本作「日主之喜忌」;「日主喜忌」全书习见	，日景喜忌 → ，日主之喜忌
10	十、形象	43	湿土，晦火生〔全〕，暗会金局，	全	金	金	形近讹	正写 「生金暗」0 「生金」94 「金暗」4;讹写「生全暗」1	注疏	A	两见证本作「晦火生金」	火生全， → 火生金，
10	十、形象	45	、辰月，丙火〔生于已、午未月〕，皆为形全；	生于已、午未月	同本站	同本站	见证本亦同	正写 「于巳午」1 「于巳」15 「巳午」18;讹写「于已午」1	注疏	B	「已」非地支(巳午未)	生于已、午未月 → 生于巳、午未月
10	十、形象	49	则官星有损，〔秎〕则去比劫之有	秎	伤	伤	形近讹	正写 「损伤则」0 「损伤」4 「伤则」3;讹写「损秎则」1	注疏	B	两见证本作「伤」	损，秎则 → 损，伤则
10	十、形象	53	也。至于木生〔这〕卯辰月，火生	这	寅	寅	形近讹	正写 「生寅卯」2 「生寅」17 「寅卯」49;讹写「生这卯」1	扫描	A	两见证本作「寅」;木生寅卯辰(东方)	生这卯 → 生寅卯
10	十、形象	55	生金，形伤破〔髦〕，无所不见；	髦	耗	耗	形近讹	正写 「破耗无」0 「破耗」45 「耗无」0;讹写「破髦无」1		A	两见证本作「破耗」	伤破髦， → 伤破耗，
11	十一、方局	0	局，要得方，〔〕莫混局。	∅	兮	兮	脱文	正写 「方兮莫」0 「方兮」3 「兮莫」0;讹写「方莫」2		B	两见证本作「要得方兮莫混局」;本站七言缺一字(辑要作「方要得方莫混局」,异文)	要得方，莫混局 → 要得方兮莫混局
11	十一、方局	2	以发杀，其余〔信〕此。若只二字	信	仿	仿	形近讹	正写 「余仿此」5 「余仿」5 「仿此」10;讹写「余信此」1	白话	A	两见证本作「仿」;「其余仿此」同书习见	余信此 → 余仿此
11	十一、方局	2	，则竟不取，〔所言方局莫混之量〕 ，愚意以为	所言方局莫混之量	同本站	同本站	见证本亦同	正写 「之说愚」0 「之说」18 「说愚」0;讹写「之量愚」1	白话	C		
11	十一、方局	2	用三合木局，〔册〕有所损累耶？	册	则	则	形近讹	正写 「局则有」0 「局则」6 「则有」16;讹写「局册有」1	白话	B	两见证本作「则」	局，册有 → 局，则有
11	十一、方局	4	甲木透出作杀〔耑〕不作官，必要	耑	而	而	形近讹	正写 「杀而不」0 「杀而」11 「而不」111;讹写「杀耑不」1		B	两见证本作「而」	杀耑不 → 杀而不
11	十一、方局	9	辰水局，皆取〔征〕旺墓，一气始	征	生	生	形近讹	正写 「取生旺」0 「取生」1 「生旺」26;讹写「取征旺」1	白话+注疏	B	两见证本作「生旺墓」(长生帝旺墓库)	取征旺 → 取生旺
11	十一、方局	9	外而紧贴，则〔会局与损局瘐论〕，其二支会局	会局与损局瘐论	同本站	同本站	见证本亦同	正写 「局参论」0 「局参」0 「参论」0;讹写「局瘐论」1	白话	C		
11	十一、方局	9	流行，则纯；〔运行北方，谓之生助强神，无疪〕。或干支有火	运行北方，谓之生助强神，无疪	同本站	同本站	见证本亦同	正写 「无疵或」0 「无疵」0 「疵或」0;讹写「无疪或」1	白话	C		
11	十一、方局	16	反复矣。所以〔制之以盛〕，不若化之以	制之以盛	同本站	同本站	见证本亦同	正写 「以威不」1 「以威」2 「威不」1;讹写「以盛不」1	注疏	C		
